ID,Type,Hair,Ear,Clothing,Eyes,Mouth,Background,Offhand,Headgear,Neck,Face,Special
0,Human,Water,,Pink Oversized Kimono,Striking,Frown,OW A,Monkey King Staff,,,,
1,Human,Pink Hairband,,White Qipao with Fur,Daydreaming,Lipstick,OW D,Gloves,,,,
2,Human,Pink Flowy,Red Tassel,Vest,Ruby,Chewing,Red,,,,,
3,Human,Green Spiky,,Green Yukata,Careless,Grass,Red,Katana,Frog Headband,Frog Headphones,,
4,Human,Brown Dreadlocks,,White Qipao with Fur,Lightning,Smirk,OW D,Katana,,,,
5,Human,Blonde Swept Back,,Red Perfecto Jacket,Suspicious,Chuckle,Red,Leather Katana,,,Red Stripes Paint,
6,Human,Teal Bun,,Alpine Jacket,Calm,Tongue Out,OW A,Leather Katana,,,,
7,Human,Orange Samurai,,Light Kimono,Suspicious,Bubble Gum,OW A,Leather Katana,Full Bandana,,,
8,Human,Silver Pixie,,Hoodie,Relaxed,Grass,OW B,,,Choker,Blush,
9,Blue,Silver Spiky,,White Yukata,Chill,Chuckle,OW D,Bat,,,,
10,Human,Green Samurai,,Blue Kimono,Closed,Chuckle,OW C,Sakura Katana,Black Bucket Hat,,,
11,Human,Orange Swept Back,,White Hoodie,Pensive,Wheat Straw,OW D,Golden Hook Sword,,,,
12,Human,Blonde Swept Back,,Black Yukata,Suspicious,Relaxed,OW A,Sakura Katana,,,,
13,Human,Teal Long,,Light Kimono,Tired,Not Bad,OW A,Bat,,,,
14,Human,Blonde Bob,,Light Kimono,Closed,Smile,OW D,Guitar,,,Red Fang Paint,
15,Human,Purple Bun,,Hoodie,Ruby,Grin,OW C,Banner,,Choker,,
16,Human,Braids,Small Hoop,Black Perfecto Jacket,Closed,420,Red,Boombox,Distressed Beanie,,,
17,Human,Silver Messy,,Denim Jacket,Pierced Eyebrow,Wheat Straw,OW D,Bokken,,,,
18,Human,Black Messy,,Red Kimono,Focus,Closed,OW D,Lantern,,Chain,Blue Shades,
19,Human,Silver Bun,Red Cylinder,Red Qipao with Fur,Focus,Smoking,Red,Floorsweeper,,Tribal Tattoo,Red Fang Paint,
20,Human,Blue Half Bun,,Camo Hoodie,Bored,Smirk,OW D,Zanbato,,,,
21,Human,PBlue Swept Back,,Green Yukata,Tired,Knife,OW B,,,Zen Headphones,,
22,Human,Blue Short Spiky,,Azuki Tech Jacket,Neutral,Relaxed,OW B,Leather Katana,Chef Headband,,,
23,Human,Black Hairband,,Black Qipao,Amethyst,Whistling,Red,Hand Seal,,,,
24,Human,Maroon Bun,,Turquoise Kimono,Joyful,Frown,OW C,Banner,Pointy Straw Hat,,,
25,Human,Maroon Half Bun,,Cloud Poncho,Closed,Closed,OW B,Lantern,,Zen Headphones,,
26,Human,Blue Half Bun,,Blue Qipao,Striking,Smile,OW A,Shuriken,,,,
27,Human,Brown Blonde Flowy,,Black Qipao,Closed,Lipstick,OW D,,,,Sleep Mask,
28,Human,Brown Messy,,Black Yukata,Focus,Smoking,Cool Gray,,,,,
29,Human,Silver Messy,,Kimono with Jacket,Neutral,Closed,OW B,Floorsweeper,,,Reading Glasses,
30,Human,Brown Messy,,Azuki Sweater,Bored,Relaxed,OW B,Banner,,,Red Stripes Paint,
